Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 24.0962
conn2, flow1_conn2, 19.6848
conn3, flow1_conn3, 19.8804
conn4, flow1_conn4, 21.1861
conn5, flow1_conn5, 21.2311
