Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 21.0969
conn2, flow1_conn2, 19.7626
conn3, flow1_conn3, 19.6848
conn4, flow1_conn4, 28.3281
conn5, flow1_conn5, 20.1204
