Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 21.6447
conn2, flow1_conn2, 19.6848
conn3, flow1_conn3, 19.7236
conn4, flow1_conn4, 21.7864
conn5, flow1_conn5, 26.0416
