Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 256, 321024, 320768, 0, 256, 1, 1.08895, 1.08808, 2.19645e+06
conn1_flow2, 256, 320768, 320512, 0, 256, 1, 1.08903, 1.08816, 2.19454e+06
