Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)
conn_from_pod1_host1_to_pod5_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188552, 0.0186548, 6.13465e+08

conn_from_pod1_host1_to_pod5_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187634, 0.018564, 6.16467e+08

conn_from_pod1_host1_to_pod5_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185296, 0.0183327, 6.24246e+08

conn_from_pod1_host1_to_pod5_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188464, 0.0186461, 6.13752e+08

conn_from_pod1_host1_to_pod5_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188439, 0.0186436, 6.13834e+08

conn_from_pod1_host1_to_pod5_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187157, 0.0185168, 6.18038e+08

conn_from_pod1_host1_to_pod5_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186951, 0.0184964, 6.1872e+08

conn_from_pod1_host1_to_pod6_host1_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0188348, 0.0186526, 6.13538e+08

conn_from_pod1_host1_to_pod6_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0184128, 0.0182171, 6.28205e+08

conn_from_pod1_host1_to_pod6_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183327, 0.0181379, 6.30951e+08

conn_from_pod1_host1_to_pod6_host4_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0184313, 0.0182531, 6.26969e+08

conn_from_pod1_host1_to_pod6_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187416, 0.0185424, 6.17185e+08

conn_from_pod1_host1_to_pod6_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0184237, 0.0182279, 6.27835e+08

conn_from_pod1_host1_to_pod6_host7_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0182844, 0.0181075, 6.32007e+08

conn_from_pod1_host1_to_pod6_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0188689, 0.0186684, 6.13021e+08

conn_from_pod1_host1_to_pod6_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0187848, 0.0185852, 6.15765e+08

conn_from_pod1_host2_to_pod1_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018676, 0.0184775, 6.19352e+08

conn_from_pod1_host2_to_pod1_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186128, 0.0184149, 6.21457e+08

conn_from_pod1_host2_to_pod1_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183785, 0.0181832, 6.29377e+08

conn_from_pod1_host2_to_pod1_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186107, 0.0184129, 6.21524e+08

conn_from_pod1_host2_to_pod1_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186343, 0.0184362, 6.20739e+08

conn_from_pod1_host2_to_pod1_host7_flow_1, 1500, 1536000, 1554000, 1536000, 1.17188, 18000, 12, 0.0183299, 0.0181176, 6.31655e+08

conn_from_pod1_host2_to_pod1_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186101, 0.0184123, 6.21545e+08

conn_from_pod1_host2_to_pod1_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186363, 0.0184382, 6.20672e+08

conn_from_pod1_host2_to_pod2_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186202, 0.0184223, 6.2121e+08

conn_from_pod1_host2_to_pod2_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186168, 0.0184189, 6.21322e+08

conn_from_pod1_host2_to_pod2_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186316, 0.0184336, 6.20829e+08

conn_from_pod1_host2_to_pod2_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186158, 0.018418, 6.21355e+08

conn_from_pod1_host2_to_pod2_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183905, 0.018195, 6.28968e+08

conn_from_pod1_host2_to_pod2_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186608, 0.0184625, 6.19856e+08

conn_from_pod1_host2_to_pod2_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183477, 0.0181527, 6.30436e+08

conn_from_pod1_host2_to_pod2_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186208, 0.0184229, 6.21188e+08

