Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 64, 23424, 6400, 200, 17024, 266, 2.16803, 0.592359, 80498

conn2_flow1, 128, 59264, 12800, 300, 46464, 363, 2.60717, 0.563103, 169361
