Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 4096, 888832, 819200, 0, 69632, 17, 10.6877, 9.8504, 619621

conn2_flow1, 2048, 847872, 819200, 0, 28672, 14, 10.1438, 9.80075, 622760
