Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
749.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,10000
5221.56,10000,0
5963.61,0,10000
5966.61,0,0
11922.1,10000,0
11923.1,20000,0
12667.1,10000,10000
12672.1,10000,0
13411.2,20000,0
13412.2,20000,10000
13416.2,20000,0
14157.3,10000,10000
14159.2,10000,0
14902.3,0,10000
14905.2,0,0
23843,10000,0
23844,20000,0
24588.1,20000,10000
24589.1,30000,10000
24593,30000,0
25333.1,20000,10000
25337.1,20000,0
26077.2,30000,0
26078.2,30000,10000
26082.2,30000,0
26822.2,40000,0
26823.2,40000,10000
26827.2,40000,0
27568.3,30000,10000
27572.3,30000,0
28313.4,20000,10000
28317.3,20000,0
29058.4,10000,10000
29062.3,10000,0
29803.5,0,10000
29807.4,0,0
38748.2,10000,0
39493.2,0,10000
39498.2,0,0
40233.3,10000,0
40978.3,0,10000
40982.3,0,0
41728.4,10000,0
42473.5,0,10000
42478.4,0,0
43213.5,10000,0
43958.6,0,10000
43959.6,10000,10000
43964.5,10000,0
44704.6,0,10000
44709.6,0,0
45448.7,10000,0
46193.7,0,10000
46196.7,0,0
46943.8,10000,0
47688.9,0,10000
47693.8,0,0
57374.6,10000,0
58119.7,0,10000
58123.7,0,0
58859.7,10000,0
58860.7,20000,0
59604.8,10000,10000
59610.7,10000,0
60349.9,10000,10000
60354.8,10000,0
61094.9,0,10000
61097.8,0,0
61098.9,10000,0
61844,0,10000
61848.9,0,0
67805.4,10000,0
68550.5,0,10000
68554.5,0,0
69290.5,10000,0
70035.6,0,10000
70036.6,10000,10000
70041.5,10000,0
70781.7,0,10000
70785.7,0,0
71525.7,10000,0
71526.7,20000,0
72270.8,10000,10000
72273.7,10000,0
73015.8,0,10000
73019.8,0,0
73020.8,10000,0
73765.9,0,10000
73769.9,0,0
78233.2,10000,0
78978.3,0,10000
78982.3,0,0
80467.4,10000,0
81212.5,10000,10000
81217.4,10000,0
81957.5,0,10000
81961.5,0,0
82701.6,10000,0
83446.7,0,10000
83449.6,0,0
83450.7,10000,0
83451.7,20000,0
84195.7,10000,10000
84200.6,10000,0
84936.8,20000,0
84940.8,10000,10000
84944.8,10000,0
85685.8,0,10000
85689.8,0,0
90154.2,10000,0
90899.2,0,10000
90903.2,0,0
92388.3,10000,0
93133.4,10000,10000
93138.3,10000,0
93878.5,0,10000
93882.5,0,0
98351.8,10000,0
99096.9,0,10000
99102.8,0,0
105800,10000,0
106545,0,10000
106549,0,0
108035,10000,0
108780,10000,10000
108785,10000,0
109525,0,10000
109529,0,0
122195,10000,0
122940,10000,10000
122941,20000,10000
122945,20000,0
123685,10000,10000
123689,10000,0
124430,0,10000
124433,0,0
137096,10000,0
137841,10000,10000
137846,10000,0
138586,0,10000
138590,0,0
139326,10000,0
140071,0,10000
140074,0,0
149013,10000,0
149014,20000,0
149758,20000,10000
149763,20000,0
150503,10000,10000
150507,10000,0
151247,20000,0
151248,10000,10000
151252,10000,0
151993,0,10000
151997,0,0
162424,10000,0
163169,10000,10000
163170,20000,10000
163174,20000,0
163914,10000,10000
163919,10000,0
164658,20000,0
164659,10000,10000
164663,10000,0
165404,0,10000
165408,0,0
174349,10000,0
175094,0,10000
175099,0,0
175834,10000,0
176579,0,10000
176582,0,0
176583,10000,0
177328,0,10000
177334,0,0
185521,10000,0
186266,0,10000
186271,0,0
187010,10000,0
187011,20000,0
187755,10000,10000
187759,10000,0
187760,20000,0
188500,10000,10000
188504,10000,0
189245,0,10000
189249,0,0
201171,10000,0
201172,20000,0
201916,20000,10000
201921,20000,0
202661,10000,10000
202665,10000,0
203406,0,10000
203409,0,0
213088,10000,0
213833,10000,10000
213838,10000,0
214578,0,10000
214582,0,0
215322,10000,0
215323,20000,0
216067,10000,10000
216070,10000,0
216812,0,10000
216816,0,0
224264,10000,0
225009,10000,10000
225014,10000,0
225754,0,10000
225758,0,0
226498,10000,0
227243,0,10000
227246,0,0
227247,10000,0
227248,20000,0
227992,10000,10000
227998,10000,0
228737,0,10000
228741,0,0
236931,10000,0
237675,20000,0
237676,10000,10000
237680,10000,0
238421,0,10000
238425,0,0
239164,10000,0
239909,0,10000
239913,0,0
239914,10000,0
240659,10000,10000
240664,10000,0
241404,0,10000
241408,0,0
249596,10000,0
249597,20000,0
250341,20000,10000
250346,20000,0
251085,30000,0
251086,20000,10000
251090,20000,0
251830,30000,0
251831,20000,10000
251835,20000,0
252575,30000,0
252576,20000,10000
252580,20000,0
253321,10000,10000
253325,10000,0
254066,0,10000
254070,0,0
261521,10000,0
262266,10000,10000
262267,20000,10000
262271,20000,0
263006,30000,0
263011,20000,10000
263015,20000,0
263751,30000,0
263756,20000,10000
263760,20000,0
264496,30000,0
264501,20000,10000
264505,20000,0
265246,10000,10000
265250,10000,0
265986,20000,0
265991,10000,10000
265995,10000,0
266736,0,10000
266740,0,0
273437,10000,0
274183,10000,10000
274187,10000,0
274928,0,10000
274932,0,0
