Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 4096, 876544, 819200, 0, 57344, 14, 9.81429, 9.17224, 665434

conn2_flow1, 2048, 845824, 819200, 0, 26624, 13, 10.152, 9.83243, 620754
