Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
749.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,10000
5221.56,10000,0
5963.61,0,10000
5966.61,0,0
11922.1,10000,0
11923.1,20000,0
12667.1,10000,10000
12672.1,10000,0
13411.2,20000,0
13412.2,20000,10000
13416.2,20000,0
14157.3,10000,10000
14159.2,10000,0
14902.3,0,10000
14905.2,0,0
23843,10000,0
23844,20000,0
24588.1,20000,10000
24589.1,30000,10000
24593,30000,0
25333.1,20000,10000
25337.1,20000,0
26078.2,10000,10000
26082.2,10000,0
26823.2,0,10000
26827.2,0,0
41728.4,10000,0
42473.5,0,10000
42477.5,0,0
43213.5,10000,0
43958.6,0,10000
43964.5,0,0
52904.3,10000,0
53649.3,0,10000
53654.3,0,0
54389.4,10000,0
54390.4,20000,0
55134.4,10000,10000
55140.4,10000,0
55879.5,0,10000
55884.4,0,0
61841,10000,0
62586,0,10000
62591,0,0
63330.1,10000,0
64075.1,0,10000
64076.1,10000,10000
64077.1,20000,10000
64081.1,20000,0
64821.2,10000,10000
64825.2,10000,0
65566.3,0,10000
65570.2,0,0
73761.9,10000,0
74507,0,10000
74511.9,0,0
75252,10000,0
75997.1,10000,10000
76002,10000,0
76742.1,0,10000
76746.1,0,0
77486.2,10000,0
78231.2,0,10000
78235.2,0,0
86427.9,10000,0
86428.9,20000,0
87172.9,10000,10000
87177.9,10000,0
87918,0,10000
87922,0,0
88662.1,10000,0
89407.1,0,10000
89411,0,0
89412.1,10000,0
90157.2,10000,10000
90162.1,10000,0
90902.2,0,10000
90906.2,0,0
99838.9,10000,0
100584,10000,10000
100585,20000,10000
100589,20000,0
101328,30000,0
101329,20000,10000
101333,20000,0
102074,10000,10000
102078,10000,0
102819,0,10000
102823,0,0
113250,10000,0
113251,20000,0
113995,20000,10000
114000,20000,0
114739,30000,0
114740,20000,10000
114744,20000,0
115485,10000,10000
115489,10000,0
116230,0,10000
116234,0,0
125171,10000,0
125916,10000,10000
125921,10000,0
126660,20000,0
126661,20000,10000
126665,20000,0
127406,10000,10000
127410,10000,0
128150,20000,0
128151,10000,10000
128155,10000,0
128896,0,10000
128900,0,0
142307,10000,0
143052,0,10000
143055,0,0
143801,10000,0
144545,20000,0
144546,10000,10000
144550,10000,0
145291,0,10000
145295,0,0
157953,10000,0
158699,0,10000
158703,0,0
160192,10000,0
160193,20000,0
160937,10000,10000
160942,10000,0
161682,0,10000
161686,0,0
169877,10000,0
169878,20000,0
170622,20000,10000
170627,20000,0
171368,10000,10000
171372,10000,0
172113,0,10000
172116,0,0
181798,10000,0
182543,10000,10000
182548,10000,0
183288,0,10000
183292,0,0
184029,10000,0
184030,20000,0
184775,10000,10000
184777,10000,0
185520,0,10000
185524,0,0
196699,10000,0
197445,10000,10000
197449,10000,0
198190,0,10000
198194,0,0
212347,10000,0
213092,0,10000
213097,0,0
225754,10000,0
225755,20000,0
226499,10000,10000
226501,10000,0
227244,0,10000
227246,0,0
236934,10000,0
236935,20000,0
237679,10000,10000
237683,10000,0
238419,20000,0
238424,10000,10000
238427,10000,0
239169,0,10000
239173,0,0
251835,10000,0
252580,0,10000
252585,0,0
253320,10000,0
254065,0,10000
254069,0,0
265990,10000,0
266735,10000,10000
266740,10000,0
267480,0,10000
267484,0,0
274931,10000,0
275676,10000,10000
275677,20000,10000
275681,20000,0
276421,10000,10000
276425,10000,0
277166,0,10000
277170,0,0
283871,10000,0
284616,10000,10000
284621,10000,0
285357,20000,0
285358,30000,0
285361,20000,10000
285365,20000,0
286106,10000,10000
286110,10000,0
286852,0,10000
286854,0,0
295047,10000,0
295792,10000,10000
295797,10000,0
296533,20000,0
296537,10000,10000
296541,10000,0
297282,0,10000
297286,0,0
298023,10000,0
298768,0,10000
298770,0,0
308459,10000,0
308460,20000,0
309204,20000,10000
309209,20000,0
309944,30000,0
309949,20000,10000
309953,20000,0
310694,10000,10000
310698,10000,0
311434,20000,0
311439,10000,10000
311441,10000,0
312184,0,10000
312188,0,0
321869,10000,0
322612,20000,0
322613,30000,0
322614,20000,10000
322617,20000,0
323355,30000,0
323359,20000,10000
323363,20000,0
324104,10000,10000
324108,10000,0
324845,20000,0
324849,10000,10000
324851,10000,0
325591,20000,0
325595,10000,10000
325597,10000,0
326340,0,10000
326344,0,0
336026,10000,0
336027,20000,0
336771,10000,10000
336775,10000,0
337511,20000,0
337516,10000,10000
337518,10000,0
338257,20000,0
338262,10000,10000
338266,10000,0
339007,0,10000
339011,0,0
347199,10000,0
347944,0,10000
347950,0,0
348687,10000,0
349432,0,10000
349434,0,0
349435,10000,0
349436,20000,0
350180,10000,10000
350181,10000,0
350182,20000,0
350925,10000,10000
350926,10000,0
351671,0,10000
351671,0,0
358375,10000,0
359120,0,10000
359126,0,0
359863,10000,0
360608,0,10000
360610,0,0
