Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 24.0184, 23.0946, 322611

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.7661, 20.1612, 369550

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.0777, 19.4929, 382220

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.4137, 20.79, 358374
