Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 20.2429
conn2, flow1_conn2, 19.6848
conn3, flow1_conn3, 20.4079
conn4, flow1_conn4, 19.8017
conn5, flow1_conn5, 20.833
