Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 19.6848
conn2, flow1_conn2, 22.8307
conn3, flow1_conn3, 19.8017
conn4, flow1_conn4, 25.974
conn5, flow1_conn5, 21.5051
